country_name,income_group,region,year,co2_emissions_metric_tons_per_capita,fertility_rate_total_births_per_woman,forest_area_percent_of_land_area,gdp_per_capita_constant_2005_us,health_expenditure_per_capita_ppp_constant_2005_international,labor_force_participation_rate_female_percent_of_female_population_ages_15_modeled_ilo_estimate,life_expectancy_at_birth_total_years,malnutrition_prevalence_weight_for_age_percent_of_children_under_5,population_total,urban_population_percent_of_total,fossil_fuel_energy_consumption_percent_of_total,poverty_headcount_ratio_at_2_a_day_ppp_percent_of_population,public_spending_on_education_total_percent_of_government_expenditure
Afghanistan,Low Income,South Asia,1984,0.23881179716395998,7.676,NA,NA,NA,NA,43.64448780487806,NA,11854205,16.6686,NA,NA,NA
Afghanistan,Low Income,South Asia,1985,0.3043911875268725,7.679,NA,NA,NA,NA,44.3799024390244,NA,11528977,16.917,NA,NA,NA
Afghanistan,Low Income,South Asia,1986,0.27903538478654577,7.681,NA,NA,NA,NA,45.16880487804879,NA,11262439,17.165,NA,NA,NA
Afghanistan,Low Income,South Asia,1987,0.2824056569280221,7.682,NA,NA,NA,NA,45.99721951219513,NA,11063107,17.413,NA,NA,NA
Afghanistan,Low Income,South Asia,1988,0.2603744820488235,7.682,NA,NA,NA,NA,46.85014634146342,NA,11013345,17.661,NA,NA,NA
Afghanistan,Low Income,South Asia,1989,0.24751128433840022,7.682,NA,NA,NA,NA,47.711585365853665,NA,11215323,17.909,NA,NA,NA
Afghanistan,Low Income,South Asia,1990,0.22818736338239426,7.687,2.0698219953084034,NA,NA,15.5,48.567048780487816,NA,11731193,18.157,NA,NA,NA
Afghanistan,Low Income,South Asia,1991,0.19771261483964175,7.7,2.0698219953084034,NA,NA,15.3000001907349,49.404560975609755,NA,12612043,18.3938,NA,NA,NA
Afghanistan,Low Income,South Asia,1992,0.10327800510227575,7.725,2.0698219953084034,NA,NA,15,50.21312195121952,NA,13811876,18.6306,NA,NA,NA
Afghanistan,Low Income,South Asia,1993,0.0906158517198149,7.758,2.0698219953084034,NA,NA,14.8000001907349,50.98524390243903,NA,15175325,18.8674,NA,NA,NA
Afghanistan,Low Income,South Asia,1994,0.08007998535397413,7.796,2.0698219953084034,NA,NA,14.6999998092651,51.70939024390244,NA,16485018,19.1042,NA,NA,NA
Afghanistan,Low Income,South Asia,1995,0.07214697675825638,7.832,2.0698219953084034,NA,NA,14.5,52.37507317073171,NA,17586073,19.341,NA,NA,NA
Afghanistan,Low Income,South Asia,1996,0.06511479824908702,7.859,2.0698219953084034,NA,NA,14.3000001907349,52.97278048780488,NA,18415307,19.5894,NA,NA,NA
Afghanistan,Low Income,South Asia,1997,0.05860652725539353,7.869,2.0698219953084034,NA,NA,14.1000003814697,53.50848780487805,44.9000015258789,19021226,19.8378,NA,NA,NA
Afghanistan,Low Income,South Asia,1998,0.05416755826432555,7.854,2.0698219953084034,NA,NA,13.8999996185303,53.99219512195122,NA,19496836,20.0862,NA,NA,NA
Afghanistan,Low Income,South Asia,1999,0.041647372944239806,7.809,2.0698219953084034,NA,NA,13.8000001907349,54.432878048780495,NA,19987071,20.3346,NA,NA,NA
Afghanistan,Low Income,South Asia,2000,0.037924610203463306,7.733,2.0698219953084034,NA,NA,13.3999996185303,54.84856097560976,NA,20595360,20.583,NA,NA,NA
Afghanistan,Low Income,South Asia,2001,0.030232274247507306,7.623,2.0698219953084034,NA,NA,13.3999996185303,55.25621951219512,NA,21347782,20.8428,NA,NA,NA
Afghanistan,Low Income,South Asia,2002,0.01618561185464576,7.484,2.0698219953084034,231.972528425574,12.4372185862269,13.5,55.6718780487805,NA,22202806,21.1026,NA,NA,NA
Afghanistan,Low Income,South Asia,2003,0.025222764248463262,7.321,2.0698219953084034,241.6213179082664,16.8812174343814,13.6000003814697,56.10756097560976,NA,23116142,21.3624,NA,NA,NA
Afghanistan,Low Income,South Asia,2004,0.030534564719246458,7.136,2.0698219953084034,234.99662511260973,16.3543908848255,13.6999998092651,56.56973170731708,32.9000015258789,24018682,21.6222,NA,NA,NA
Afghanistan,Low Income,South Asia,2005,0.04085776615486475,6.93,2.0698219953084034,252.40789247684927,19.9828968656691,13.8999996185303,57.05843902439025,NA,24860855,21.882,NA,NA,NA
Afghanistan,Low Income,South Asia,2006,0.05221958854808745,6.702,2.0698219953084034,258.41869223745215,21.4408002025788,14.1000003814697,57.57065853658537,NA,25631282,22.1534,NA,NA,NA
Afghanistan,Low Income,South Asia,2007,0.07556881235639293,6.456,2.0698219953084034,285.9170913314321,28.8288510039396,14.3999996185303,58.091365853658544,NA,26349243,22.4248,NA,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1972,2.5159143980320318,4.809,NA,NA,NA,NA,67.5859512195122,NA,2243126,32.1288,77.1741106583994,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1973,2.3038974168739155,4.677,NA,NA,NA,NA,67.95795121951221,NA,2296752,32.3232,74.36663391922895,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1974,1.8490066907107883,4.538,NA,NA,NA,NA,68.34834146341464,NA,2350124,32.5176,75.39746304958726,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1975,1.9106336370414387,4.393,NA,NA,NA,NA,68.74121951219513,NA,2404831,32.712,75.74642476416517,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1976,2.0135845624573423,4.244,NA,NA,NA,NA,69.11551219512197,NA,2458526,32.922,76.1939197382069,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1977,2.2758763913610496,4.094,NA,NA,NA,NA,69.45617073170733,NA,2513546,33.132,75.88187791122108,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1978,2.5306250404283888,3.947,NA,NA,NA,NA,69.75424390243903,NA,2566266,33.342,78.02470363692647,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1979,2.8982085175824883,3.807,NA,NA,NA,NA,70.00965853658538,NA,2617832,33.552,75.01181304752757,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1980,1.9350583103199592,3.678,NA,1853.020892810319,NA,NA,70.2359756097561,NA,2671997,33.762,80.9287927914084,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1981,2.693023914402345,3.562,NA,1920.6311127368228,NA,NA,70.45446341463415,NA,2726056,34.0262,78.03791049148656,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1982,2.6248567851342433,3.46,NA,1935.9162642969507,NA,NA,70.68512195121953,NA,2784278,34.2904,77.83653444249799,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1983,2.683239918986202,3.372,NA,1916.2318262525694,NA,NA,70.93739024390244,NA,2843960,34.5546,78.87594412276876,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1984,2.694291373622836,3.297,NA,1852.8525120971779,NA,NA,71.20653658536585,NA,2904429,34.8188,81.09747747485775,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1985,2.6580153820104275,3.233,NA,1847.4682087894257,NA,NA,71.47121951219513,NA,2964762,35.083,81.43376237594615,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1986,2.66535622064854,3.177,NA,1914.2478209238566,NA,NA,71.69756097560978,NA,3022635,35.352,77.05831274025262,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1987,2.41406081518223,3.126,NA,1861.6156467308876,NA,NA,71.8619512195122,NA,3083605,35.621,78.63751137101558,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1988,2.33159853051997,3.075,NA,1800.8800200647988,NA,NA,71.95329268292684,NA,3142336,35.89,80.38140353344528,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1989,2.7832430746143904,3.023,NA,1925.5660608131175,NA,NA,71.97858536585368,NA,3227943,36.159,79.6938123131685,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1990,2.2783868272488226,2.97,28.795620437956202,1710.135552914633,NA,53.2000007629395,71.95731707317073,NA,3286542,36.428,76.59397508005652,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1991,1.2156768570982524,2.917,28.722627737226276,1211.404079186078,NA,54.2000007629395,71.91841463414634,NA,3266790,36.9246,69.82499607195118,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1992,0.7351981297422052,2.867,28.649635036496353,1131.0211349945266,NA,54.2000007629395,71.90080487804879,NA,3247039,37.4212,56.07929064573297,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1993,0.7260627889617502,2.819,28.576642335766422,1247.185896304248,NA,54,71.9358536585366,NA,3227287,37.9178,53.47897795794464,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1994,0.6013469529258596,2.772,28.5036496350365,1359.0195267000308,NA,53.7000007629395,72.0419512195122,NA,3207536,38.4144,54.84691480319333,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1995,0.6545371330052476,2.723,28.43065693430657,1549.3097700848668,97.5920540629653,53.2000007629395,72.23602439024391,NA,3187784,38.911,49.541641185572324,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1996,0.6366253129307681,2.67,28.357664233576642,1700.8350612721374,135.389539925294,52.7000007629395,72.52741463414634,NA,3168033,39.477,45.453763744009024,NA,NA
Albania,Upper Middle Income,Europe and Central Afica,1997,0.49036505953566406,2.611,28.284671532846716,1536.932325385537,144.887078449665,52.9000015258789,72.89809756097561,7.09999990463257,3148281,40.043,41.449340236683945,6.5,11.08548
Albania,Upper Middle Income,Europe and Central Afica,1998,0.5602714373843307,2.543,28.21167883211679,1743.0579482251524,170.166004623651,52.4000015258789,73.32658536585367,NA,3128530,40.609,44.094522548896514,NA,9.56544
Albania,Upper Middle Income,Europe and Central Afica,1999,0.9601644118685864,2.467,28.13868613138686,1931.3000800056097,208.586584434263,51.7999992370605,73.79339024390245,NA,3108778,41.175,57.169677901420826,NA,9.62347
Albania,Upper Middle Income,Europe and Central Afica,2000,0.9781746808946636,2.383,28.065693430656935,2085.535015954351,247.585071275506,51.4000015258789,74.2720731707317,17,3089027,41.741,58.017179731614185,NA,10.07531
Albania,Upper Middle Income,Europe and Central Afica,2001,1.05195046785185,2.291,28.16058394160584,2249.668224124193,261.334604923308,51,74.73421951219512,NA,3064111,42.7536,59.97248196828529,NA,10.47443
Albania,Upper Middle Income,Europe and Central Afica,2002,1.229372683665708,2.195,28.255474452554747,2324.5310844054934,297.246429690989,50.7999992370605,75.1579512195122,NA,3051427,43.7662,62.50538681510221,8.76,9.88743
Albania,Upper Middle Income,Europe and Central Afica,2003,1.4154712180901017,2.097,28.35036496350365,2471.4200631488143,312.499815546068,49.9000015258789,75.52936585365855,NA,3033659,44.7788,64.6380906503884,NA,10.6771
Albania,Upper Middle Income,Europe and Central Afica,2004,1.3818553104761895,2.004,28.44525547445255,2633.798953245458,348.945983636187,49.0999984741211,75.839,NA,3014579,45.7914,65.67516827229699,5.57,10.71896
Albania,Upper Middle Income,Europe and Central Afica,2005,1.42135392371632,1.919,28.54014598540146,2798.9496326700664,366.830730627565,48.2999992370605,76.08939024390244,6.59999990463257,2992724,46.804,66.5700926061463,7.85,11.35792
Albania,Upper Middle Income,Europe and Central Afica,2006,1.3022174992958286,1.849,28.4985401459854,2963.350725635689,395.413809004503,47.5,76.29053658536586,NA,2968028,47.9076,63.64584940026718,NA,10.7565
Albania,Upper Middle Income,Europe and Central Afica,2007,1.379077691031256,1.796,28.45693430656934,3167.1578218866316,462.511036774729,46.7000007629395,76.4648536585366,NA,2940880,49.0112,65.21553802019946,NA,11.16433
Algeria,Upper Middle Income,Middle East and North Africa,1972,1.827602783722321,7.591,NA,2070.5232656949747,NA,NA,51.17180487804878,NA,15511892,39.832,98.77992606034557,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1973,2.404228923000925,7.548,NA,2092.324833249205,NA,NA,51.645707317073175,NA,15935594,39.998,98.52503845106642,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1974,1.9485317903486428,7.492,NA,2188.833440088681,NA,NA,52.18807317073171,NA,16374671,40.164,99.03101219853376,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1975,1.9028255891401415,7.422,NA,2236.5945353981883,NA,NA,52.83624390243903,NA,16833516,40.33,99.35239357342277,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1976,2.262715033171385,7.339,NA,2357.2448435410392,NA,NA,53.63051219512196,NA,17311457,40.9724,99.36534605677969,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1977,2.3523442915240196,7.244,NA,2411.9462672804925,NA,NA,54.578268292682935,NA,17808536,41.6148,99.58992101867476,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1978,3.411230714215379,7.138,NA,2559.188899623499,NA,NA,55.66753658536586,NA,18330535,42.2572,99.66613856136469,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1979,2.41577433443569,7.021,NA,2669.8479101606013,NA,NA,56.874878048780495,NA,18884689,42.8996,99.70791464053092,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1980,3.4155934900604894,6.889,NA,2609.362425710809,NA,NA,58.16402439024392,NA,19475204,43.542,99.73035007013218,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1981,2.3099406777709297,6.741,NA,2603.5902888312085,NA,NA,59.486756097560985,NA,20103931,44.4272,99.6631747094961,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1982,1.8910155496083896,6.576,NA,2681.825675797255,NA,NA,60.78634146341464,NA,20766568,45.3124,99.70168339444837,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1983,2.4530105375970983,6.392,NA,2736.164700109343,NA,NA,62.008951219512205,NA,21453278,46.1976,99.84063910895516,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1984,3.2100035922467245,6.192,NA,2798.443863540524,NA,NA,63.117121951219524,NA,22150483,47.0828,99.68269733855126,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1985,3.1857526513805463,5.976,NA,2813.462018271256,NA,NA,64.07626829268294,NA,22847437,47.968,99.61791368178756,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1986,3.240410634382388,5.747,NA,2741.682670040269,NA,NA,64.86721951219513,NA,23539383,48.7914,99.80951527574734,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1987,3.4723790571915463,5.508,NA,2645.357221347218,NA,NA,65.51019512195123,8,24225748,49.6148,99.75581647313241,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1988,3.37076344439581,5.263,NA,2547.4833198633346,NA,NA,66.02753658536585,NA,24904931,50.4382,99.89831335509169,24.55,NA
Algeria,Upper Middle Income,Middle East and North Africa,1989,3.129694936730439,5.014,NA,2589.729810621004,NA,NA,66.43368292682928,NA,25576596,51.2616,99.86297206548169,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1990,3.006721911692005,4.761,0.699908470278032,2544.4782125711367,NA,9.89999961853027,66.75117073170732,NA,26239708,52.085,99.9383029484331,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1991,3.028919414956601,4.503,0.6962136925105176,2452.8145725857603,NA,10.1999998092651,67.00312195121953,NA,26893663,52.8674,100.04909829027764,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1992,2.9875198795895472,4.238,0.692518914743003,2438.7933473388102,NA,10.5,67.21870731707318,9.19999980926514,27535151,53.6498,100.16708402428192,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1993,2.9290356479751796,3.971,0.6888241369754885,2334.8024177134653,NA,10.8000001907349,67.421,NA,28157560,54.4322,100.15995405613813,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1994,3.00320904968078,3.705,0.685129359207974,2265.8932671785847,NA,11.1000003814697,67.62851219512196,NA,28752749,55.2146,100.19185979337612,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1995,3.2301362936004114,3.449,0.6814345814404595,2306.8502136389366,164.688825878368,11.5,67.84819512195122,11.3000001907349,29315463,55.997,99.8716394929924,23.61,NA
Algeria,Upper Middle Income,Middle East and North Africa,1996,3.235587367995559,3.207,0.677739803672945,2358.8062351609597,153.947623847615,11.8000001907349,68.0789268292683,NA,29845208,56.955,99.84155317501259,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1997,2.90636555062295,2.987,0.6740450259054305,2345.439426066473,167.46760455843,11.8000001907349,68.30758536585367,NA,30345466,57.913,99.76410616141355,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1998,3.474320430584448,2.794,0.670350248137916,2427.0683069861266,175.70239089369,11.8000001907349,68.52609756097561,NA,30820435,58.871,99.71300664216083,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,1999,2.945320313675261,2.634,0.6666554703704015,2468.227383569752,173.222523967005,11.8000001907349,68.73295121951222,NA,31276295,59.829,99.74450096279199,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2000,2.772147555274368,2.514,0.6629606926028869,2487.286033555638,181.19954639444,11.8999996185303,68.93019512195121,5.40000009536743,31719449,60.787,99.81507435510302,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2001,2.6218603381540606,2.439,0.6593498870573614,2567.1508739452,204.700876563641,12,69.12043902439025,NA,32150198,61.9674,99.77587140026426,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2002,2.789232068042169,2.407,0.6557390815118359,2675.7252120747494,209.521211192438,12.1999998092651,69.30526829268294,11.1000003814697,32572977,63.1478,99.73897754085664,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2003,2.803740228064697,2.412,0.6521282759663103,2830.965084435721,218.530576562582,12.3999996185303,69.48624390243903,NA,33003442,64.3282,99.73115092909296,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2004,2.6745229458050774,2.448,0.6485174704207848,2912.2902986365893,230.799957191501,12.6000003814697,69.66387804878049,NA,33461345,65.5086,99.73660395901194,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2005,3.15444315482424,2.507,0.6449066648752593,3038.748713418462,219.537656559138,12.8999996185303,69.83860975609757,3.70000004768372,33960903,66.689,99.60922418463016,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2006,3.0127937016300415,2.58,0.6412118871077448,3041.480756830768,225.501320716739,13.1999998092651,70.00836585365855,NA,34507214,67.756,99.73958996065804,NA,NA
Algeria,Upper Middle Income,Middle East and North Africa,2007,3.2007979988513564,2.656,0.6375171093402302,3092.039129417197,261.373874591385,13.6000003814697,70.17104878048782,NA,35097043,68.823,99.751711805659,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1972,NA,NA,NA,NA,NA,NA,NA,NA,28490,71.172,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1973,NA,NA,NA,NA,NA,NA,NA,NA,29014,71.566,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1974,NA,NA,NA,NA,NA,NA,NA,NA,29491,71.96,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1975,NA,NA,NA,NA,NA,NA,NA,NA,29932,72.354,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1976,NA,NA,NA,NA,NA,NA,NA,NA,30325,72.7492,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1977,NA,NA,NA,NA,NA,NA,NA,NA,30690,73.1444,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1978,NA,NA,NA,NA,NA,NA,NA,NA,31105,73.5396,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1979,NA,NA,NA,NA,NA,NA,NA,NA,31670,73.9348,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1980,NA,NA,NA,NA,NA,NA,NA,NA,32456,74.33,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1981,NA,NA,NA,NA,NA,NA,NA,NA,33488,75.0164,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1982,NA,NA,NA,NA,NA,NA,NA,NA,34740,75.7028,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1983,NA,NA,NA,NA,NA,NA,NA,NA,36165,76.3892,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1984,NA,NA,NA,NA,NA,NA,NA,NA,37687,77.0756,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1985,NA,NA,NA,NA,NA,NA,NA,NA,39247,77.762,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1986,NA,NA,NA,NA,NA,NA,NA,NA,40835,78.3992,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1987,NA,NA,NA,NA,NA,NA,NA,NA,42448,79.0364,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1988,NA,NA,NA,NA,NA,NA,NA,NA,44049,79.6736,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1989,NA,NA,NA,NA,NA,NA,NA,NA,45591,80.3108,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1990,NA,NA,91.95,NA,NA,NA,NA,NA,47044,80.948,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1991,NA,NA,91.75,NA,NA,NA,NA,NA,48379,81.8144,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1992,NA,NA,91.6,NA,NA,NA,NA,NA,49597,82.6808,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1993,NA,NA,91.45,NA,NA,NA,NA,NA,50725,83.5472,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1994,NA,NA,91.25,NA,NA,NA,NA,NA,51807,84.4136,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1995,NA,NA,91.1,NA,NA,NA,NA,NA,52874,85.28,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1996,NA,NA,90.95,NA,NA,NA,NA,NA,53926,85.9772,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1997,NA,NA,90.75,NA,NA,NA,NA,NA,54942,86.6744,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1998,NA,NA,90.6,NA,NA,NA,NA,NA,55899,87.3716,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,1999,NA,NA,90.4,NA,NA,NA,NA,NA,56768,88.0688,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2000,NA,NA,90.25,NA,NA,NA,NA,NA,57522,88.766,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2001,NA,NA,90.1,NA,NA,NA,NA,NA,58176,89.2694,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2002,NA,NA,89.9,NA,NA,NA,NA,NA,58729,89.7728,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2003,NA,NA,89.75,NA,NA,NA,NA,NA,59117,90.2762,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2004,NA,NA,89.55,NA,NA,NA,NA,NA,59262,90.7796,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2005,NA,NA,89.4,NA,NA,NA,NA,NA,59117,91.283,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2006,NA,NA,89.25,NA,NA,NA,NA,NA,58652,91.622,NA,NA,NA
American Samoa,Upper Middle Income,East Asia and Pacific,2007,NA,NA,89.05,NA,NA,NA,NA,NA,57919,91.961,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1972,NA,NA,NA,29434.48044814387,NA,NA,NA,NA,26892,82.9938,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1973,NA,NA,NA,30222.160239406745,NA,NA,NA,NA,28231,84.4132,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1974,NA,NA,NA,30532.675594259686,NA,NA,NA,NA,29514,85.8326,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1975,NA,NA,NA,29506.526585368025,NA,NA,NA,NA,30706,87.252,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1976,NA,NA,NA,29450.321303383687,NA,NA,NA,NA,31781,88.2144,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1977,NA,NA,NA,29373.145356928948,NA,NA,NA,NA,32769,89.1768,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1978,NA,NA,NA,28940.035159033127,NA,NA,NA,NA,33746,90.1392,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1979,NA,NA,NA,28059.857379574976,NA,NA,NA,NA,34819,91.1016,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1980,NA,NA,NA,27690.314319742316,NA,NA,NA,NA,36063,92.064,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1981,NA,NA,NA,26592.527822273838,NA,NA,NA,NA,37502,92.683,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1982,NA,NA,NA,25815.69862040529,NA,NA,NA,NA,39112,93.302,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1983,NA,NA,NA,25147.48488935136,NA,NA,NA,NA,40862,93.921,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1984,NA,NA,NA,24492.21520465733,NA,NA,NA,NA,42704,94.54,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1985,NA,NA,NA,23997.036053193206,NA,NA,NA,NA,44597,95.159,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1986,NA,NA,NA,23756.051368464792,NA,NA,NA,NA,46515,95.0696,NA,NA,NA
Andorra,High Income,Europe and Central Afica,1987,NA,NA,NA,24068.45392252468,NA,NA,NA,NA,48458,94.9802,NA,NA,NA
